,session_number,date,event_time,unique_visit,on_off,port,port_rank,prior_port,rewarded,RA_1,RA_2,RA_3,RA_4,RA_5,RA_6,photo_i,video_i
0,1,2021-09-09 14:51:31,0.5,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,6430.0
1,1,2021-09-09 14:51:31,0.7291000000000001,1,1.0,6.0,6.0,0.0,0.0,,,,,,,6196.0,9179.0
3,1,2021-09-09 14:51:31,0.7339166666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6233.0,9237.0
5,1,2021-09-09 14:51:31,0.7371833333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6259.0,9276.0
7,1,2021-09-09 14:51:31,0.7412333333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6290.0,9324.0
9,1,2021-09-09 14:51:31,0.7440333333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6312.0,9358.0
11,1,2021-09-09 14:51:31,0.7453666666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6322.0,9374.0
13,1,2021-09-09 14:51:31,0.7470833333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6336.0,9395.0
15,1,2021-09-09 14:51:31,0.7514833333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6370.0,9447.0
17,1,2021-09-09 14:51:31,0.7545166666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6394.0,9484.0
19,1,2021-09-09 14:51:31,0.7562166666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6407.0,9504.0
21,1,2021-09-09 14:51:31,0.7592,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6430.0,9540.0
23,1,2021-09-09 14:51:31,0.7611666666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6446.0,9564.0
25,1,2021-09-09 14:51:31,0.76305,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6460.0,9586.0
27,1,2021-09-09 14:51:31,0.7649833333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6475.0,9609.0
29,1,2021-09-09 14:51:31,0.7667333333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6489.0,9630.0
31,1,2021-09-09 14:51:31,0.7681333333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6500.0,9647.0
33,1,2021-09-09 14:51:31,0.7695833333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6511.0,9665.0
35,1,2021-09-09 14:51:31,0.7727166666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6536.0,9702.0
37,1,2021-09-09 14:51:31,0.7769833333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6569.0,9753.0
39,1,2021-09-09 14:51:31,0.7787000000000001,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6582.0,9774.0
41,1,2021-09-09 14:51:31,0.7807,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6598.0,9798.0
43,1,2021-09-09 14:51:31,0.7825666666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6612.0,9820.0
45,1,2021-09-09 14:51:31,0.7837,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6621.0,9834.0
47,1,2021-09-09 14:51:31,0.7875666666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6651.0,9880.0
49,1,2021-09-09 14:51:31,0.7897,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6668.0,9906.0
51,1,2021-09-09 14:51:31,0.7918333333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6685.0,9932.0
53,1,2021-09-09 14:51:31,0.79395,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6701.0,9957.0
55,1,2021-09-09 14:51:31,0.7956166666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6714.0,9977.0
57,1,2021-09-09 14:51:31,1.0000166666666666,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,12429.0
58,1,2021-09-09 14:51:31,1.0333333333333334,0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,12829.0
59,1,2021-09-09 14:51:31,1.204,1,1.0,2.0,2.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,9899.0,14877.0
60,1,2021-09-09 14:51:31,1.2040333333333335,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,14877.0
62,1,2021-09-09 14:51:31,1.2149,0,1.0,2.0,2.0,2.0,0.0,,,,,,,9984.0,15008.0
64,1,2021-09-09 14:51:31,1.2183333333333333,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10011.0,15049.0
66,1,2021-09-09 14:51:31,1.2201,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10025.0,15070.0
68,1,2021-09-09 14:51:31,1.2216833333333335,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10037.0,15089.0
