Mouse,Median latency (minutes),SEM latency (minutes) 
6PG5,22.72213333,0.187245056
6PG6,12.37679167,0.123351896
6PG8,27.49235,0.196313574
6PG9,107.8551,0.16560007
6PG10,43.93041667,0.419603129
6PG11,118.7737333,0.394384962
6PG12,32.18989167,0.167790285
6PG15,NaN,NaN
6PG24,21.85,
6PG25,NaN,NaN
6PG27,95.160675,0.159613677
6PG28,35.9988,0.120491831
6PG30,45.312475,0.129255135
6PG31,29.69515833,0.161275509
ML11,28.30165,0.228339604
ML12,18.59756667,0.143281822
ML13,13.83433333,0.113367226
ML14,24.17088333,0.165757774
ML15,93.80445,0.219982159
ML17,21.852325,0.087065141
6PG33,37.19373333,0.218974019
6PG34,40.83294167,0.114486011
6PG35,17.98153333,0.291895954
