,6PG5,6PG6,6PG8,6PG9,6PG10,6PG11,6PG12,6PG15,6PG24,6PG25,6PG27,6PG28,6PG30,ML11,ML12,ML13,ML14,ML15,ML17,6PG33,6PG34,6PG35
0,,,,,,,,,,,,,,,,,,,,,,
1,0.22585898,0.003793107,0.277464542,0.00189234,1,0.409934909,0.26407186,0.483139859,,0.187330021,0.278875674,0.002385203,0.18855224,0.255235432,0.444717709,0.055294666,0.009886821,0.441588066,0.00221274,0.013611494,1,0.806211158
2,0.116140355,0.082501682,0.291991913,0.507550985,0.172670159,0.340021751,0.303899528,0.003978572,0.510864611,0.116986846,0.087573919,0.031137693,0.034533648,0.312009296,0.275024063,0.050386031,0.517423286,0.035510712,0.737851925,0.610095549,0.022086602,0.370162584
3,0.769202093,0.069435448,0.478142702,0.332771669,0.001647388,0.080033353,0.237456016,0.198400891,0.056511149,0.739268967,0.155426416,0.906806184,1,0.414660955,0.029688693,0.00653036,0.283314695,0.298333959,0.303812817,0.322623028,0.59745214,0.638377898
4,0.135957905,0.238642511,0.22261154,0.001627134,0.000363698,0.148413622,0.322734026,0.180092484,0.464342046,0.308547284,0.217454116,0.012635499,0.183078851,0.120607879,0.301568548,1,0.191537546,0.058735185,0.003052234,0.003958748,0.023772037,0.00540464
5,0.174030486,0.081613761,1,0.168983395,0.173993246,0.554585396,0.679599119,0.160737519,0.370445252,0.00188397,0.256472341,0.275759178,0.267438167,0.707660174,0,0.160890294,0.568241082,0.725755174,0.736650658,0.24187368,0.08662592,0.294381989
6,0.37245298,0.056968089,0.341932614,0.053714039,0.145318442,0.17278256,0.726091043,0.255574824,0.298949426,0.228795356,0.164908156,0.249873348,0.178363859,0.240334388,0.482397619,0.225683249,0.235624319,0.043379136,0.880907041,0.135755985,0.52458617,0.296130654
7,0.005669277,0.289177348,0.075110578,0.165942678,0.049440449,0.034391418,0.055941427,0.258193177,0.199211697,0.734503129,0.096131041,0.334606692,0.143806691,0.168034466,0.227733169,0.290143679,0.428178551,0.058160935,1,0.036739448,0.089783069,1
8,0.276492671,0.027150668,0.00513221,0.181993236,0.087782056,0.171717754,0.094477289,0.084177012,1,0.259107729,1,0.01368645,0.022564276,0.294303141,0.244385987,0.129855836,0.653535719,0.217594431,0.004582361,0.033214792,0.038069472,0.012226906
9,0.012507462,0.063399433,0.125117696,0.010125883,0.08413515,0.297096993,0.317388255,0.002218487,0.055978124,1,0.035171365,0.032545388,0.177597534,0.052422673,0.388001228,0.080463232,0.394204351,0.002414936,0.821609313,0.394666828,0.128168911,0.268602224
10,0.056540111,0.12010743,0.198016553,0.028616044,0.304948184,0.157566244,0.197514798,0.516394673,0.001405047,0.011505877,0.004798611,0.253565847,0.134501372,0.148814879,0.387332848,0.209988141,0.287072121,0.190782657,0.093194781,0.026838093,0.079304578,0.052709538
11,0.205321766,0.054810081,0.13356305,0.034894817,0.01129826,0.04454711,0.043047478,0.026631693,0.263308808,0.951831208,0.410815105,0.198059937,0.106942308,0.022950636,0.004935732,0.001306499,0.098770077,0.04815804,0.901690802,0.13313473,0.161240824,0.465720045
12,0.082574047,1,0.047748999,0.131880389,0.02557967,0.319361791,0.071775682,1,0.440764441,0.082854269,0.45198914,0.006856659,0.105263332,0.067955223,0.068922307,0.258442475,0.034791084,0.450025336,0.191305739,0.00321478,0.052254304,0.398509842
13,0.199732012,0.075548028,0.18033781,0.067054157,0.136947553,0.225422075,0.293559383,0.004078595,0.238679311,0.007680926,0.040257844,0.075579463,0.161833672,0.141788976,0.188633619,0.119294349,0.288992166,0.195605927,0.135590637,0.154114138,0.553710724,0.283717454
14,0.027212148,0.149402481,0.04217559,0.415965945,0.322565163,0.503310025,0.359011476,0.000445895,0.186165383,0.122478514,0.187841621,0.031091805,0.189704945,0.118255795,0.383306971,0.67725557,0.572219784,0.21967667,0.374039176,0.025479235,0.051627879,0.551790472
15,0.118359749,0.290707131,0.067568609,0.176618218,0.036670491,0.234485346,0.329811033,0.484893104,0.042838434,0.029189199,0.038932597,0.148227939,0.212548211,0.0238982,0.175761062,0.001383566,0.514399404,0.185640108,0.072521347,0.26254096,0.176637427,0.252413786
16,0.079896852,0.348337943,0.203490903,0.069618194,0.01291947,0.043208282,0.189363313,0.890233915,0.001267123,0.047012627,0.001750119,0.303198394,0.034201902,0.230131775,0.053499316,0.048918899,0.36054654,0.041853037,0.063745112,0.511494183,0.054645532,0.061860657
17,0.037078726,0.152785765,0.245613468,0.208619047,0.081066567,0.367411561,0.102966417,0.081444844,0.002259275,0.013778236,0.000437805,0.198104933,0.022022312,0.01992371,0.352921825,0.023709174,0.052075585,0.536376497,0.101855387,0.006063967,0.035077636,0.690718545
18,0.15123191,0.20319819,0.037422902,0.197485888,0.072852353,0.038024101,0.481934793,0.027351107,0.145240469,0.303984384,0.000860874,0.07394674,0.369790209,0.030752138,0.232262122,0.054953644,0.005196575,0.185692576,0.238851158,0.027609845,0.22870155,0.72313899
19,0.065088031,0.075370749,0.345182592,0.19957617,0.102692998,0.009370317,0.010238976,0.003362269,0.001665363,0.037774362,0.006406391,0.224103624,0.347661323,0.153116932,0.198882451,0.296231616,0.003859343,0.760959117,0.101620858,0.005763412,0.415175251,0.05915113
20,0.111202214,0.068531277,0.330129642,0.024061196,0.044071195,0.129499316,0.202929205,0.078292726,0.196269827,0.239194811,0.208298291,0.488215293,0.053711454,0.03284715,0.163257022,0.229369701,0.079309009,0.182873961,0.309721176,0.014122782,0.029563193,0.086809001
21,0.026049682,0.049045996,0.036256214,0.20776644,0.008932257,0.033228014,0.388442602,0.017395717,0.149560692,0.195503246,0.186971049,1,0.434785603,0.07831478,0.178420742,0.024214762,0.433316259,0.026046682,0.104485427,0.077344952,0.405747039,0.045585375
22,0.053844743,0.101933189,0.492394992,0.088313499,0.055316083,0.224675264,0.363970539,0.007953597,0.023227591,0.04745955,0.00241801,0.098337823,0.223000327,0.022214189,0.221903387,0.335013841,0.075261237,0.040575416,0.442796556,0.003865827,0.047928299,0.362613949
23,0.103200618,0.062532959,0.318171183,0.090444027,0.084268841,0.189570094,0.348035487,0.026486919,0.574463132,0.229949148,0.353520851,0.025657744,0.06555385,0.022319194,0.056203785,0.213887861,0.308906933,0.277625772,0.148397204,0.13225493,0.044719318,0.073644692
24,0.024638524,0.137849368,0.139755282,0.213937417,0.010009085,0.444445613,0.047235259,0.114454973,0.173251947,0.029092672,0.003104583,0.375277766,0.079746526,0.2092398,0.178372383,0.075395295,0.421530733,0.380883479,0.238296466,0.075259751,0.403151896,0.045402733
25,0.052716964,0.24383831,0.263309294,0.202038112,0.001433488,0.034028603,0.062103105,0.236687486,0.135228715,0.092730773,0.049677222,0.005495621,0.161184463,0.498673326,0.11950519,0.148820968,0.053224524,0.200634311,0.154046229,0.022233049,0.361022917,0.330952281
26,0.036245129,0.227226993,0.068504037,0.038726312,0.001647224,0.293569197,0.393189759,0.066982962,0.197794011,0.033785215,0.000737804,0.300883749,0.219695633,0.001049252,0.183298088,0.240645708,0.072440013,0.71192898,0.071640737,0.191676905,0.052617429,0.039646113
27,0.148346987,0.040005736,0.039964744,0.055550058,0.088101217,0.232052891,0.30559459,0.037494212,0.038474431,0.164998105,0.119949331,0.030018171,0.019432191,0.0433301,0.004343485,0.222283706,0.26122145,0.990185631,0.449321914,0.030981239,0.210777925,0.134239819
28,0.079896239,0.081972791,0.350477915,0.109305946,0.078300541,0.175065398,0.057052398,0.083144234,0.00870278,0.023365873,0.173929381,0.036961409,0.003370653,0.038389614,0.258716829,0.12354389,0.248425934,0.013859542,0.139823768,0,0.011520848,0.102456631
